ts_code,date,open,high,low,close,pre_close,change,pct_chg,vol,amount
002099.SZ,2015-01-05,3.73,3.76,3.64,3.73,3.74,-0.010000000000000231,-0.27,34151.64,29100.2641
002099.SZ,2015-01-06,3.73,3.92,3.7,3.88,3.73,0.1499999999999999,4.02,69800.65,61302.3073
002099.SZ,2015-01-07,3.86,3.97,3.83,3.87,3.88,-0.009999999999999787,-0.26,51399.93,45855.8164
002099.SZ,2015-01-08,3.87,4.1,3.83,4.03,3.87,0.16000000000000014,4.13,113677.8,103744.5112
002099.SZ,2015-01-09,4.01,4.14,3.93,3.94,4.03,-0.0900000000000003,-2.23,131409.17,121814.9088
002099.SZ,2015-01-12,3.94,4.12,3.91,4.12,3.94,0.18000000000000016,4.57,130832.66,122254.6126
002099.SZ,2015-01-13,4.12,4.3,4.1,4.26,4.12,0.13999999999999968,3.4,155282.28,150984.3116
002099.SZ,2015-01-21,4.36,4.52,4.15,4.26,4.26,0.0,0.0,203350.2,200520.695
002099.SZ,2015-01-22,4.26,4.31,4.13,4.17,4.26,-0.08999999999999986,-2.11,184735.29,177284.028
002099.SZ,2015-01-23,4.19,4.42,4.16,4.39,4.17,0.21999999999999975,5.28,221668.29,219434.5283
002099.SZ,2015-01-26,4.39,4.65,4.39,4.56,4.39,0.16999999999999993,3.87,226752.81,235426.2106
002099.SZ,2015-01-27,4.56,4.68,4.52,4.6,4.56,0.040000000000000036,0.88,146069.61,153947.0114
002099.SZ,2015-01-28,4.6,4.69,4.54,4.54,4.6,-0.05999999999999961,-1.3,135621.5,143510.2354
002099.SZ,2015-01-29,4.48,4.54,4.42,4.46,4.54,-0.08000000000000007,-1.76,97620.41,99838.9045
002099.SZ,2015-01-30,4.46,4.51,4.3,4.32,4.46,-0.13999999999999968,-3.14,87450.08,87796.9506
002099.SZ,2015-02-02,4.25,4.46,4.21,4.34,4.32,0.019999999999999574,0.46,86211.24,86022.9333
002099.SZ,2015-02-03,4.33,4.44,4.3,4.36,4.34,0.020000000000000462,0.46,47587.4,47519.7272
002099.SZ,2015-02-04,4.36,4.41,4.28,4.29,4.36,-0.07000000000000028,-1.61,64562.01,64019.4691
