ts_code,date,open,high,low,close,pre_close,change,pct_chg,vol,amount
600642.SH,2015-01-05,4.34,4.55,4.3,4.51,4.33,0.17999999999999972,4.16,1075448.88,716157.014
600642.SH,2015-01-06,4.45,4.49,4.38,4.44,4.51,-0.0699999999999994,-1.55,647093.65,427838.016
600642.SH,2015-01-07,4.44,4.48,4.35,4.47,4.44,0.02999999999999936,0.68,707003.47,467023.307
600642.SH,2015-01-08,4.45,4.48,4.31,4.32,4.47,-0.14999999999999947,-3.36,541791.57,353233.897
600642.SH,2015-01-09,4.3,4.41,4.25,4.26,4.32,-0.0600000000000005,-1.39,568146.28,366777.518
600642.SH,2015-01-12,4.26,4.27,3.99,4.04,4.26,-0.21999999999999975,-5.16,752055.93,458854.609
600642.SH,2015-01-13,4.02,4.07,4.0,4.01,4.04,-0.03000000000000025,-0.74,347230.23,209184.163
600642.SH,2015-01-14,4.02,4.09,4.01,4.04,4.01,0.03000000000000025,0.75,298772.04,180633.788
600642.SH,2015-01-15,4.05,4.18,4.04,4.17,4.04,0.1299999999999999,3.22,372705.44,229721.179
600642.SH,2015-01-16,4.19,4.23,4.18,4.19,4.17,0.020000000000000462,0.48,338108.43,212208.852
600642.SH,2015-01-19,4.02,4.11,3.79,3.86,4.19,-0.3300000000000005,-7.88,732011.4,434614.037
600642.SH,2015-01-20,3.88,3.99,3.88,3.92,3.86,0.06000000000000005,1.55,404404.32,237874.284
600642.SH,2015-01-21,3.94,4.07,3.93,4.05,3.92,0.1299999999999999,3.32,459072.53,274672.564
600642.SH,2015-01-22,4.08,4.11,4.03,4.09,4.05,0.040000000000000036,0.99,372383.75,226599.65
600642.SH,2015-01-23,4.1,4.19,4.07,4.09,4.09,0.0,0.0,530586.06,326294.21
600642.SH,2015-01-26,4.15,4.39,4.1,4.32,4.09,0.23000000000000043,5.62,923379.84,583222.531
600642.SH,2015-01-27,4.32,4.34,4.19,4.29,4.32,-0.03000000000000025,-0.69,642190.83,409515.041
600642.SH,2015-01-28,4.32,4.71,4.29,4.71,4.29,0.41999999999999993,9.79,1504652.88,1038953.476
600642.SH,2015-01-29,4.75,5.12,4.65,4.94,4.71,0.23000000000000043,4.88,3258042.41,2380289.372
600642.SH,2015-01-30,4.85,5.07,4.78,4.79,4.94,-0.15000000000000036,-3.04,2100788.17,1541631.26
600642.SH,2015-02-02,4.72,4.73,4.49,4.55,4.79,-0.2400000000000002,-5.01,1302413.78,891021.901
600642.SH,2015-02-03,4.62,4.7,4.55,4.63,4.55,0.08000000000000007,1.76,991803.32,684799.379
600642.SH,2015-02-04,4.63,4.73,4.57,4.58,4.63,-0.04999999999999982,-1.08,906421.59,627820.188
600642.SH,2015-02-05,4.65,4.67,4.41,4.41,4.58,-0.16999999999999993,-3.71,921614.77,620685.044
600642.SH,2015-02-06,4.39,4.46,4.22,4.29,4.41,-0.1200000000000001,-2.72,687979.47,445331.994
600642.SH,2015-02-09,4.23,4.29,4.19,4.21,4.29,-0.08000000000000007,-1.86,472890.02,299276.647
600642.SH,2015-02-10,4.21,4.32,4.21,4.31,4.21,0.09999999999999964,2.38,382550.79,244833.815
600642.SH,2015-02-11,4.33,4.5,4.32,4.45,4.31,0.14000000000000057,3.25,518771.93,344378.074
600642.SH,2015-02-12,4.45,4.49,4.36,4.46,4.45,0.009999999999999787,0.22,340837.65,225365.342
600642.SH,2015-02-13,4.51,4.61,4.49,4.5,4.46,0.040000000000000036,0.9,579300.29,393679.472
