ts_code,date,open,high,low,close,pre_close,change,pct_chg,vol,amount
002615.SZ,2015-01-05,4.88,4.88,4.72,4.81,4.9,-0.09000000000000075,-1.84,8423.89,22232.8226
002615.SZ,2015-01-06,4.81,4.94,4.81,4.94,4.81,0.13000000000000078,2.7,11176.23,29968.115
002615.SZ,2015-01-07,4.95,4.95,4.83,4.92,4.94,-0.020000000000000462,-0.4,11134.14,29795.3293
002615.SZ,2015-01-08,4.92,4.92,4.83,4.83,4.92,-0.08999999999999986,-1.83,5990.76,15981.0589
002615.SZ,2015-01-09,4.83,4.88,4.8,4.86,4.83,0.03000000000000025,0.62,6856.74,18251.2622
002615.SZ,2015-01-12,4.84,4.84,4.64,4.65,4.86,-0.20999999999999996,-4.32,7280.86,18801.065
002615.SZ,2015-01-13,4.7,4.77,4.64,4.74,4.65,0.08999999999999986,1.94,5100.06,13201.3262
002615.SZ,2015-01-14,4.74,4.74,4.66,4.68,4.74,-0.0600000000000005,-1.27,6760.41,17357.7812
002615.SZ,2015-01-15,4.66,4.83,4.66,4.75,4.68,0.07000000000000028,1.5,7391.2,19362.6193
002615.SZ,2015-01-16,4.74,4.84,4.74,4.84,4.75,0.08999999999999986,1.89,7005.07,18500.2863
002615.SZ,2015-01-19,4.7,4.93,4.61,4.77,4.84,-0.07000000000000028,-1.45,25274.36,66102.8935
002615.SZ,2015-01-20,4.76,5.0,4.74,5.0,4.77,0.23000000000000043,4.82,20397.92,55001.9106
002615.SZ,2015-01-21,5.01,5.07,4.95,5.01,5.0,0.009999999999999787,0.2,16332.32,44936.4272
002615.SZ,2015-01-22,5.06,5.09,5.01,5.06,5.01,0.04999999999999982,1.0,14753.33,40907.2353
002615.SZ,2015-01-23,5.07,5.1,4.98,5.07,5.06,0.010000000000000675,0.2,17671.04,48904.4164
002615.SZ,2015-01-26,5.07,5.2,5.02,5.17,5.07,0.09999999999999964,1.97,19261.48,54322.4643
002615.SZ,2015-01-27,5.15,5.17,5.02,5.09,5.17,-0.08000000000000007,-1.55,14349.98,40100.4876
002615.SZ,2015-01-28,5.04,5.09,4.97,5.04,5.09,-0.04999999999999982,-0.98,10228.07,28212.0833
002615.SZ,2015-01-29,4.99,5.03,4.95,4.95,5.04,-0.08999999999999986,-1.79,10078.86,27612.1511
002615.SZ,2015-01-30,4.96,4.97,4.86,4.89,4.95,-0.0600000000000005,-1.21,8761.24,23624.3597
002615.SZ,2015-02-02,4.83,4.88,4.79,4.83,4.89,-0.05999999999999961,-1.23,6756.9,17937.3908
002615.SZ,2015-02-03,4.84,4.95,4.84,4.93,4.83,0.09999999999999964,2.07,7198.05,19412.7908
002615.SZ,2015-02-04,4.93,4.98,4.83,4.83,4.93,-0.09999999999999964,-2.03,7791.64,20964.4674
002615.SZ,2015-02-05,4.88,4.88,4.76,4.77,4.83,-0.0600000000000005,-1.24,8067.7,21346.1776
002615.SZ,2015-02-06,4.74,4.76,4.55,4.6,4.77,-0.16999999999999993,-3.56,10502.54,26858.9973
002615.SZ,2015-02-09,4.62,4.62,4.41,4.44,4.6,-0.15999999999999925,-3.48,15077.11,37273.6668
002615.SZ,2015-02-10,4.46,4.55,4.43,4.54,4.44,0.09999999999999964,2.25,10488.49,25964.0682
002615.SZ,2015-02-11,4.54,4.63,4.52,4.63,4.54,0.08999999999999986,1.98,7162.02,17941.0563
002615.SZ,2015-02-12,4.63,4.64,4.55,4.57,4.63,-0.05999999999999961,-1.3,12139.04,30519.703
002615.SZ,2015-02-13,4.61,4.7,4.59,4.68,4.57,0.10999999999999943,2.41,11046.94,28254.3525
002615.SZ,2015-02-16,4.7,4.78,4.67,4.77,4.68,0.08999999999999986,1.92,7743.48,20128.9654
002615.SZ,2015-02-17,4.78,4.78,4.68,4.73,4.77,-0.03999999999999915,-0.84,10108.75,26145.9198
002615.SZ,2015-02-25,4.72,4.72,4.64,4.64,4.73,-0.09000000000000075,-1.9,9539.43,24466.1747
002615.SZ,2015-02-26,4.65,4.69,4.64,4.69,4.64,0.05000000000000071,1.08,7801.11,19964.97
002615.SZ,2015-02-27,4.7,4.8,4.68,4.8,4.69,0.10999999999999943,2.35,13162.31,34336.5372
002615.SZ,2015-03-02,4.83,4.89,4.79,4.88,4.8,0.08000000000000007,1.67,15951.67,42482.4897
002615.SZ,2015-03-03,4.85,4.87,4.78,4.81,4.88,-0.07000000000000028,-1.43,14776.97,39224.8032
002615.SZ,2015-03-04,4.79,4.96,4.79,4.94,4.81,0.13000000000000078,2.7,19048.23,51266.5192
002615.SZ,2015-03-05,4.93,4.97,4.87,4.97,4.94,0.02999999999999936,0.61,12428.22,33553.8183
002615.SZ,2015-03-06,4.97,5.01,4.87,4.88,4.97,-0.08999999999999986,-1.81,13711.41,36846.4739
002615.SZ,2015-03-09,4.88,4.98,4.83,4.91,4.88,0.03000000000000025,0.61,13667.7,36843.5008
002615.SZ,2015-03-10,4.92,5.03,4.9,4.98,4.91,0.07000000000000028,1.43,13852.83,37793.8558
002615.SZ,2015-03-11,4.96,5.15,4.96,5.08,4.98,0.09999999999999964,2.01,20799.74,58126.202
002615.SZ,2015-03-12,5.06,5.15,4.94,4.96,5.08,-0.1200000000000001,-2.36,17723.04,49061.9191
002615.SZ,2015-03-13,4.98,5.12,4.96,5.11,4.96,0.15000000000000036,3.02,14920.57,41340.9269
002615.SZ,2015-03-16,5.11,5.24,5.11,5.21,5.11,0.09999999999999964,1.96,19088.96,54448.3139
002615.SZ,2015-03-17,5.23,5.3,5.15,5.28,5.21,0.07000000000000028,1.34,27299.18,78568.2696
002615.SZ,2015-03-18,5.28,5.43,5.23,5.42,5.28,0.13999999999999968,2.65,23516.6,69040.3727
002615.SZ,2015-03-19,5.43,5.7,5.38,5.67,5.42,0.25,4.61,34166.42,104255.0255
002615.SZ,2015-03-20,5.74,5.92,5.65,5.87,5.67,0.20000000000000018,3.53,32801.73,103805.2864
002615.SZ,2015-03-23,6.12,6.45,5.99,6.45,5.87,0.5800000000000001,9.88,51610.11,178403.3587
002615.SZ,2015-03-24,6.45,6.45,6.13,6.32,6.45,-0.1299999999999999,-2.02,85659.01,294783.7565
002615.SZ,2015-03-25,6.25,6.28,6.1,6.23,6.32,-0.08999999999999986,-1.42,46941.24,159607.8697
002615.SZ,2015-03-26,6.19,6.21,5.96,5.96,6.23,-0.27000000000000046,-4.33,38537.66,128243.7094
002615.SZ,2015-03-27,5.97,6.09,5.95,6.03,5.96,0.07000000000000028,1.17,19113.49,63026.7053
002615.SZ,2015-03-30,6.02,6.07,5.99,6.03,6.03,0.0,0.0,17693.04,58451.0427
002615.SZ,2015-03-31,6.03,6.05,5.98,5.99,6.03,-0.040000000000000036,-0.66,15569.88,51333.1969
002615.SZ,2015-04-01,6.0,6.25,6.0,6.21,5.99,0.21999999999999975,3.67,35043.0,118964.8697
002615.SZ,2015-04-02,6.21,6.39,6.15,6.39,6.21,0.17999999999999972,2.9,40764.28,140067.7879
002615.SZ,2015-04-03,6.34,6.62,6.26,6.49,6.39,0.10000000000000053,1.56,37057.46,131498.1766
002615.SZ,2015-04-07,6.56,6.68,6.47,6.65,6.49,0.16000000000000014,2.47,41476.46,149789.7394
002615.SZ,2015-04-08,6.62,7.1,6.56,6.84,6.65,0.1899999999999995,2.86,41907.02,157349.6496
002615.SZ,2015-04-09,6.89,6.89,6.16,6.67,6.84,-0.16999999999999993,-2.49,31068.5,112234.7533
002615.SZ,2015-04-10,6.65,7.03,6.49,6.99,6.67,0.3200000000000003,4.8,29666.7,112009.829
